  7141824  21425472 904991974 vendor2.csv
vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1.0,20191001 001955.000000,20191001 002357.000000,1.0,0.4,1.0,N,48.0,163.0,2.0,4.5,3.0,0.5,0.0,0.0,0.3,8.3,2.5
1.0,20191001 004019.000000,20191001 005517.000000,2.0,4.3,1.0,N,144.0,141.0,1.0,14.5,3.0,0.5,2.0,0.0,0.3,20.3,2.5
1.0,20191001 000652.000000,20191001 002123.000000,1.0,5.0,1.0,N,137.0,80.0,1.0,17.0,3.0,0.5,5.2,0.0,0.3,26.0,2.5
2.0,20191001 003608.000000,20191001 003615.000000,1.0,0.0,1.0,N,25.0,25.0,4.0,2.5,0.5,0.5,0.0,0.0,0.3,3.8,0.0
2.0,20191001 003608.000000,20191001 003615.000000,1.0,0.0,1.0,N,25.0,25.0,2.0,2.5,0.5,0.5,0.0,0.0,0.3,3.8,0.0
2.0,20191001 002015.000000,20191001 002029.000000,1.0,0.0,1.0,N,193.0,193.0,1.0,2.5,0.5,0.5,0.0,0.0,0.3,3.8,0.0
2.0,20191001 002241.000000,20191001 002248.000000,1.0,0.0,1.0,N,193.0,193.0,2.0,2.5,0.5,0.5,0.0,0.0,0.3,3.8,0.0
2.0,20191001 002314.000000,20191001 002318.000000,1.0,0.0,1.0,N,193.0,193.0,2.0,2.5,0.5,0.5,0.0,0.0,0.3,3.8,0.0
1.0,20191001 000300.000000,20191001 001337.000000,3.0,2.2,1.0,N,163.0,239.0,1.0,10.5,3.0,0.5,2.85,0.0,0.3,17.15,2.5
vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,20191001 001955,20191001 002357,1,0,1,N,48,163,2,4,3,0,0,0,0,8,2
1,20191001 004019,20191001 005517,2,4,1,N,144,141,1,14,3,0,2,0,0,20,2
1,20191001 000652,20191001 002123,1,5,1,N,137,80,1,17,3,0,5,0,0,26,2
2,20191001 003608,20191001 003615,1,0,1,N,25,25,4,2,0,0,0,0,0,3,0
2,20191001 003608,20191001 003615,1,0,1,N,25,25,2,2,0,0,0,0,0,3,0
2,20191001 002015,20191001 002029,1,0,1,N,193,193,1,2,0,0,0,0,0,3,0
2,20191001 002241,20191001 002248,1,0,1,N,193,193,2,2,0,0,0,0,0,3,0
2,20191001 002314,20191001 002318,1,0,1,N,193,193,2,2,0,0,0,0,0,3,0
1,20191001 000300,20191001 001337,3,2,1,N,163,239,1,10,3,0,2,0,0,17,2
